name,isImportant
"Bursuceni hc",false
Bușag,false
"Butan Hm",false
Butoiești,false
"Buzău Nord",false
"Buzău Sud",false
"Buzescu Hm",false
"C.A.Rosetti Hm",false
"C.C.H Dej h.",false
"C.I.L. hc",false
Cacica,false
"Cadia hc",false
"Caila hc",false
"Canton 217 h",false
"Canton 282 h",false
"Canton nr 9 h",false
"Caracău h",false
"Caralița hc",false
"Caransebeș hc",false
"Carasa hc",false
"Cariera Leasa hc",false
"Carpați h",false
"Castelu hc",false
Cataloi,false
"Cața Hm",false
"Cazaci hc",false
Căciulați,false
Căiuți,false
"Călan Băi",false
"Călărași Nord",false
"Călărași Turda Hm",false
"Căldăraru h",false
"Călimănești Vrancea h",false
Călina,false
Călinești,false
"Cămara Sighet",false
"Căpăt H",false
"Căpâlna pe Someș hc",false
"Căpruța hc",false
Cărpiniș,false
"Cășeiu Hm",false
"Cătălina h",false
Căvăran,false
Câineni,false
"Câlnic hc",false
"Câmpia Sălaj hc",false
"Câmpu Libertății",false
"Câmpulung Est",false
"Câmpuri Surduc Hm",false
"Cândești hc",false
"Cânepiști Hm",false
Cârbești,false
"Cârcea Hm",false
"Cârța hc",false
"Cârțani hc",false
Câțcău,false
"Ceamurlia de Jos Hm",false
"Cebza hc",false
Cefa,false
Cenad,false
"Ceplenița hc",false
"Cerăt h.",false
Cernele,false
"Cerneteaz hc",false
"Cernica hc",false
"Cetatea de Baltă Hm",false
"Cetatea hc",false
"Cezieni hc",false
"Checea Sat",false
"Chețani hc",false
"Chevereș hc",false
Chiajna,false
"Chichiș hc",false
"Chinezu h",false
"Chintelnic h.",false
"Chiraftei hc",false
"Chiraleș hc",false
Chiriacu,false
"Chiribiș hc",false
"Chirileu hc",false
Chizătău,false
Cicârlău,false
"Ciceu Cristur hc",false
"Ciceu Mihaești hc",false
Cilibia,false
"Ciobotani h",false
Ciocanești,false
"Ciochina hc",false
"Ciochiuța Hm",false
"Ciocmani hc",false
Ciolpani,false
"Ciopea h",false
Ciorani,false
"Cipău Hm",false
"Ciprian Porumbescu",false
"Cireșoaia Hm",false
Cireșu,false
Cislău,false
"Cistei hc",false
Ciucea,false
"Ciudanovița hc",false
Ciumeghiu,false
Ciumești,false
Ciurea,false
"Clarii Vii hc",false
Cliciova,false
Clondiru,false
Clucereasa,false
"Cluj Napoca Est",false
"Clujana h",false
"Cociu hc",false
Cogealac,false
"Cojocaru hc",false
Cojocna,false
Coldău,false
"Colibași Hm",false
"Colțan Hm",false
Comana,false
"Comlaus hc",false
"Conop PO",false
"Conțești hc",false
Copăcioasa,false
"Coplean hc",false
Corbu,false
"Corlăteni hc",false
Corlățești,false
"Cornățel Moldova hc",false
"Cornea hc",false
"Cornești Târnava hc",false
Cornet,false
"Corni hc",false
"Cornurile hc",false
"Cornuțel Banat",false
"Coroiu hcv",false
Cosmești,false
"Costești Iași hc",false
Costinești,false
"Costișa Hm",false
Coșbuc,false
Coșlariu,false
"Coșna Hm",false
"Coșteiu hc",false
"Coșteiu Mare",false
Cotești,false
Cotnari,false
"Coțofenești hc",false
Coțofeni,false
Covasna,false
"Covragiu h",false
"Cozia Hm",false
"Craiova Triaj hc",false
Crasna,false
Crăciunel,false
"Crăciunești hc",false
"Crăiești h",false
"Crângu lui Bot",false
"Crângul lui Tei hc",false
Cricov,false
"Cristești Jijia Fr",false
"Cristești Pașcani hc",false
Cristian,false
"Cristian Sibiu",false
"Criva h",false
Crivadia,false
Crivina,false
Cruceni,false
Crușovăț,false
"Cuceu Salaj hc",false
"Cuci Hm",false
Cuciulat,false
"Cucuieți Sudiți hc",false
Cunta,false
Curcani,false
"Curtuișeni Hm",false
"Cut hc",false
"Daești Hm",false
Dagâța,false
"Daia PO",false
Daneș,false
"Dăneasa hc",false
"Dănești hc",false
Dărmănești,false
"Dâlga Hm",false
"Dâmbovicioara h",false
Dâmbu,false
Dângeni,false
"Dângeni Nord hc",false
Dârste,false
"Dârza hc",false
"Deaj hc",false
"Dealu Robului h",false
"Dealu Ștefăniței",false
"Decea hc",false
"Deda Bistra",false
Dedulești,false
Dej,false
"Denta hc",false
"Depoul Buc. Triaj h",false
"Derșida hc",false
Deveselu,false
"Dezmir hc",false
"Dinamica h",false
Diosig,false
Ditrău,false
"Dobeni H",false
Dobra,false
"Dobrei P. aj. M",false
"Docăneasa Hm",false
"Dodești hc",false
"Dofteana Bacău",false
Doicești,false
"Doicești hc",false
"Domașnea Cornea Hm",false
"Domănești Hm",false
"Domnești pe Șieu hc",false
"Domnești Târg hc",false
"Domneștii de Sus hc",false
"Dor Mărunt",false
"Dor Mărunt Sat h",false
"Dorna Candrenilor hc",false
Dornești,false
Dorobanțu,false
Dorohoi,false
"Dorolțu hc",false
"Dragalina Hm",false
"Dragoș Vodă",false
"Drăgănești Prahova",false
Drăghici,false
"Drăguțești h",false
"Dridif hc",false
Dridu,false
"Drobeta T.Severin Est Hm",false
"Drobeta T.Severin Mf.",false
Dudești,false
"Dudeștii Noi Hm",false
"Dudeștii Vechi",false
"Dumbrava Hm",false
Dumbrăvioara,false
"Dumbrăvița Bârsei Hm",false
"Dumești hc",false
"Dunărea Hm",false
"Ecaterina Teodoroiu",false
"Erbiceni hc",false
"Erghevita hc",false
"Ezeris Hc",false
"Ezureni h",false
Faraoani,false
"Făget Teleajen",false
"Fălcoiu hc",false
"Făncica h.",false
Fărcașele,false
"Fâlfani Hm",false
"Fârțănești hc",false
"Feisa hc",false
Feldioara,false
"Feldru Hm",false
"Feliceni hc",false
"Felnac Hm",false
"Feneș hc",false
"Ferma Ciala H",false
"Fersig hc",false
"Fiad Hm",false
"Fibiș hc",false
Fieni,false
Fiezel,false
Filești,false
Fișcălia,false
Floreni,false
"Florești hc",false
Foltești,false
Frăsinet,false
Frățești,false
Frumușița,false
Frunzănești,false
Frunzeasca,false
"Fulga hc",false
"Fundata hc",false
"Fundătura hc",false
Fusea,false
"Gaești Sud hc",false
Galbeni,false
"Găgeni hcv",false
"Găiseanca hc",false
Gălănești,false
"Gălășeni hc",false
Gălăteni,false
Gălăuțaș,false
"Gălbinași Hm",false
"Găneasa hc",false
"Găneasa Olt h",false
"Gănești hcv",false
Gărleni,false
Gătaia,false
"Găvănel hcv",false
Găvojdia,false
Gâlgău,false
"Gâlgău h",false
Gârbău,false
"Gârbovu H",false
"Gârliște Hm",false
"Gârnița Hm",false
"Gelu H",false
"General Eremia Grigorescu",false
"General Gh. Avramescu",false
"General Traian Moșoiu",false
"Gheaba 2",false
"Gherteniș hc",false
"Ghidigeni Hm",false
Ghioroc,false
Ghiroda,false
Giarmata,false
Gilort,false
"Giorocuța h",false
"Giroc hc",false
"Giulvăz H",false
"Giurtelec hc",false
Gligorești,false
"Glodu Someșului",false
Glogovăț,false
"Glogoveț h.",false
"Goioasa Hm",false
Golenți,false
"Gornești Mureș H",false
Govora,false
Grajduri,false
Grădinari,false
Grădinița,false
Grădiștea,false
"Greci Hm",false
Grindeni,false
"Grivița hc",false
"Gropeni hc",false
"Grozăvești Hm",false
"Grupa Tehnică Caracal",false
Gugești,false
"Gura Arieșului hc",false
"Gura Bâscii",false
"Gura Humorului",false
"Gura Motrului",false
"Gura Putnei",false
"Gura Văii",false
"Gura Vitioarei PO",false
"Gurasada PO",false
"Guruslău hc",false
Halmeu,false
"Hanu Conachi",false
Hălăucești,false
Hălmagiu,false
"Hămeiuș h",false
Hărman,false
"Hășag hc",false
"Hătcărău hc",false
Hârlău,false
"Hârșești Hm",false
"Hodoni H",false
"Hodora hc",false
Holboca,false
"Holdea Hm",false
"Homorâciu Hm",false
"Horodnic hc",false
"Horticola h",false
"Hotoan hc",false
Iablanița,false
Iacobeni,false
"Iacobenii Vechi hc",false
Ialomița,false
Iclod,false
"Ideciu de Jos hc",false
"Igiroasa Hm",false
Ilba,false
Ileanda,false
Ilia,false
"Ilieni hc",false
"Ilovița h",false
Ilteu,false
"Ilva Mare",false
"Imeci Hm",false
"Inău hc",false
Independența,false
Ineu,false
Inotești,false
"Ion Luca Caragiale",false
"Ion Luca Caragiale Vest",false
Ionești,false
"Ionești Gorj hc",false
Ipu,false
Islaz,false
Ișalnița,false
"Ișalnița hc",false
Itești,false
"Ivănești hc",false
Ivești,false
"Izvin hc",false
"Izvoarele hc",false
"Întorsura Buzăului",false
"Jabăr Hm",false
Jebel,false
"Jebuc hc",false
Jegălia,false
"Jena Hm",false
Jianca,false
"Jidoștița h",false
Jidvei,false
"Jijia hc",false
Jilava,false
Jimbolia,false
"Jiu Hm",false
"Joia Mare hc",false
"Josenii Bârgăului hc",false
Jucu,false
"Jucu de Jos hc",false
"Jupânești Hm",false
"KM 105 600 h",false
"KM 107 000 h",false
"KM 109 000 h",false
"KM 25 700 h",false
"KM 49 800 h",false
"KM 74 600 hc",false
"Lacu Crișului h",false
"Lacu Sărat",false
Lainici,false
"Lalașinț PO",false
"Larga Jijia",false
"Larion Hm",false
"Laslău hc",false
"Lazărea hc",false
Lăpugiu,false
Lăzărești,false
Lechința,false
"Lemnia hc",false
Leorda,false
"Leordeni Argeș",false
Leordina,false
"Leordina hc",false
Lespezi,false
"Lespezi Bacău hc",false
"Leș Bihor Hm",false
"Leșu Ilvei Hm",false
Letca,false
"Letea h",false
Lețcani,false
Leu,false
"Lipănești hc",false
Lișava,false
Liteni,false
"Livada Someș hc",false
"Livadia hc",false
Livezeni,false
"Livezi Ciuc",false
"Livezile Bârgăului hc",false
"Loamneș Hm",false
Lovrin,false
Lucăcești,false
"Luduș Sat hc",false
"Lugoj Nord h",false
"Luica hc",false
"Luna h",false
"Lunca Banului hc",false
"Lunca Bradului",false
"Lunca Budieni Hm",false
"Lunca de Mijloc",false
"Lunca de Sus",false
"Lunca hc",false
"Lunca Ilvei",false
"Lunca Jiului hc",false
"Lunca la Tisa hc",false
"Lunca Moților hc",false
"Lunca Mureș hc",false
"Lunca Siretului hc",false
"Luncavița h",false
"Lungești h",false
"Lutița h",false
"Macău hc",false
"Maglavit hcv",false
"Malnaș Băi",false
"Malnaș hc",false
"Malu Alb hc",false
"Malu hc",false
"Malu Mare Hm",false
"Mareșal Constantin Prezan",false
Margina,false
"Marginea Bihor hc",false
"Marna hc",false
"Mateiaș hc",false
"Mateieni hc",false
"Măceu hc",false
"Mădăraș Bihor hc",false
"Mădăraș Ciuc Hm",false
"Măgheruș Șieu",false
"Măgura Hm",false
"Măgura Ilvei",false
"Măgurele Prahova",false
"Măgurele Prahova N. hc",false
"Măgurele Sud hc",false
"Măierus hc",false
"Mălăești hc",false
"Măldăeni Hm",false
"Mănărade hc",false
Mănăștur,false
Măneciu,false
"Măneciu Pământeni hc",false
Mărișelu,false
"Mărunțișu hc",false
"Mătăsaru Hm",false
"Măureni Hm",false
"Mânăstirea Turnu h",false
