currentTimestamp,cfr_date,station,trainId,trainOperator,fromStation,arrival,arrivalDelayMinutes,toStation,departure,departureDelayMinutes,platform
"06.06.2026 18:38",06.06.2026,Arad,"R 2604","CFR Călători",,,,"Timișoara Nord","06.06.2026 13:49",,
"06.06.2026 18:38",06.06.2026,Arad,"IR 374","CFR Călători",,,,Curtici,"06.06.2026 14:01",0,2
"06.06.2026 18:38",06.06.2026,Arad,"R 11182","Regio Călători",,,,"Sânnicolau Mare","06.06.2026 14:16",0,4
"06.06.2026 18:38",06.06.2026,Arad,"R 11125","Regio Călători",,,,Nădlac,"06.06.2026 14:20",0,3
"06.06.2026 18:38",06.06.2026,Arad,"R 10504","Interregional Călători",,,,Caransebeș,"06.06.2026 15:21",,
"06.06.2026 18:38",06.06.2026,Arad,"R 2608","CFR Călători",,,,"Timișoara Nord","06.06.2026 16:03",,
"06.06.2026 18:38",06.06.2026,Arad,"R 2209","CFR Călători",,,,Curtici,"06.06.2026 16:06",0,1
"06.06.2026 18:38",06.06.2026,Arad,"R 2046","CFR Călători",,,,Simeria,"06.06.2026 16:16",0,6
"06.06.2026 18:38",06.06.2026,Arad,"R 11127","Regio Călători",,,,Nădlac,"06.06.2026 16:23",0,1
"06.06.2026 18:38",06.06.2026,Arad,"R 3127","CFR Călători",,,,Brad,"06.06.2026 16:26",0,7
"06.06.2026 18:38",06.06.2026,Arad,"R 11186","Regio Călători",,,,"Sânnicolau Mare","06.06.2026 16:39",0,3
"06.06.2026 18:38",06.06.2026,Arad,"IRN 1822","CFR Călători",,,,"București Nord","06.06.2026 17:30",0,1
"06.06.2026 18:38",06.06.2026,Arad,"IR 14300","Astra Trans Carpatic",,,,"București Nord","06.06.2026 18:03",3,1
"06.06.2026 18:38",06.06.2026,Arad,"R 11129","Regio Călători",,,,Nădlac,"06.06.2026 18:28",0,2
"06.06.2026 18:38",06.06.2026,Arad,"R 2048","CFR Călători",,,,Simeria,"06.06.2026 19:08",0,6
"06.06.2026 18:38",06.06.2026,Arad,"R 11190","Regio Călători",,,,"Sânnicolau Mare","06.06.2026 19:54",0,1
"06.06.2026 18:38",06.06.2026,Arad,"IR 370","CFR Călători",,,,Curtici,"06.06.2026 20:01",0,1
"06.06.2026 18:38",06.06.2026,Arad,"IRN 0079","CFR Călători",,,,"București Nord","06.06.2026 20:09",20,3
"06.06.2026 18:38",06.06.2026,Arad,"R 2213","CFR Călători",,,,Curtici,"06.06.2026 20:10",0,4
"06.06.2026 18:38",06.06.2026,Arad,"R 11131","Regio Călători",,,,Nădlac,"06.06.2026 20:33",0,7
"06.06.2026 18:38",06.06.2026,Arad,"R 11133","Regio Călători",,,,Nădlac,"06.06.2026 22:28",0,
"06.06.2026 18:38",06.06.2026,Oradea,"IR 1530","CFR Călători","Baia Mare","06.06.2026 03:41",0,"Timișoara Nord","06.06.2026 03:46",0,4C
"06.06.2026 18:38",06.06.2026,Oradea,"R 4332","CFR Călători","Satu Mare","06.06.2026 06:20",3,,,,4C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3071","CFR Călători","Cluj Napoca","06.06.2026 06:20",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10677","Interregional Călători",Bratca,"06.06.2026 06:30",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10602","Interregional Călători","Valea lui Mihai","06.06.2026 07:08",5,,,,4A
"06.06.2026 18:38",06.06.2026,Oradea,"IRN 1743","CFR Călători",Arad,"06.06.2026 08:28",88,,,,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 3113","CFR Călători","Timișoara Nord","06.06.2026 09:08",12,,,,4C
"06.06.2026 18:38",06.06.2026,Oradea,"IRA 1841","CFR Călători","Cluj Napoca","06.06.2026 09:20",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 359","CFR Călători","Episcopia Bihor","06.06.2026 10:01",13,,,,4C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10604","Interregional Călători","Satu Mare","06.06.2026 10:29",0,,,,4A
"06.06.2026 18:38",06.06.2026,Oradea,"R 4334","CFR Călători",Halmeu,"06.06.2026 10:53",5,,,,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R-E 10515","Interregional Călători","Timișoara Nord","06.06.2026 11:13",34,,,,4C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 10033","Transferoviar Călători","Cluj Napoca","06.06.2026 11:25",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3073","CFR Călători","Cluj Napoca","06.06.2026 11:50",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10653","Interregional Călători","Cluj Napoca","06.06.2026 11:53",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 361","CFR Călători","Episcopia Bihor","06.06.2026 13:01",25,,,,4C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 10035","Transferoviar Călători","Cluj Napoca","06.06.2026 13:25",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10606","Interregional Călători","Valea lui Mihai","06.06.2026 14:27",0,,,,4A
"06.06.2026 18:38",06.06.2026,Oradea,"R 10681","Interregional Călători",Bratca,"06.06.2026 15:20",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 363","CFR Călători","Episcopia Bihor","06.06.2026 16:06",9,,,,4C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10608","Interregional Călători","Satu Mare","06.06.2026 16:54",0,,,,4A
"06.06.2026 18:38",06.06.2026,Oradea,"R 10659","Interregional Călători","Cluj Napoca","06.06.2026 17:23",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3009","CFR Călători","Cluj Napoca","06.06.2026 17:24",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3645","CFR Călători",Bratca,"06.06.2026 18:30",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 4336","CFR Călători","Satu Mare","06.06.2026 18:39",0,,,,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R-E 10513","Interregional Călători","Timișoara Nord","06.06.2026 18:49",21,,,,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 365","CFR Călători","Episcopia Bihor","06.06.2026 19:06",14,,,,4C
"06.06.2026 18:38",06.06.2026,Oradea,"IRA 01539","CFR Călători","Cluj Napoca","06.06.2026 19:20",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"IR 1531","CFR Călători","Timișoara Nord","06.06.2026 19:55",23,"Baia Mare","06.06.2026 20:00",23,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10572","Interregional Călători","Cluj Napoca","06.06.2026 20:21",0,,,,4A
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3075","CFR Călători","Cluj Napoca","06.06.2026 21:00",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10610","Interregional Călători","Valea lui Mihai","06.06.2026 21:17",19,,,,
"06.06.2026 18:38",06.06.2026,Oradea,"IR 1537","CFR Călători","Timișoara Nord","06.06.2026 21:20",13,,,,
"06.06.2026 18:38",06.06.2026,Oradea,"RA 10039","Transferoviar Călători","Cluj Napoca","06.06.2026 21:25",0,,,,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3011","CFR Călători","Cluj Napoca","06.06.2026 21:49",0,,,,
"06.06.2026 18:38",06.06.2026,Oradea,"R 369","CFR Călători","Episcopia Bihor","06.06.2026 23:01",0,,,,
"06.06.2026 18:38",06.06.2026,Oradea,"R 10683","Interregional Călători",Bratca,"06.06.2026 23:05",0,,,,
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3647","CFR Călători",Bratca,"06.06.2026 23:15",0,,,,
"06.06.2026 18:38",06.06.2026,Oradea,"R 13117","CFR Călători","Timișoara Nord","06.06.2026 23:38",0,,,,
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3072","CFR Călători",,,,"Cluj Napoca","06.06.2026 02:00",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 4331","CFR Călători",,,,Halmeu,"06.06.2026 03:00",0,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10678","Interregional Călători",,,,Bratca,"06.06.2026 03:10",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 10032","Transferoviar Călători",,,,"Cluj Napoca","06.06.2026 04:00",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 3112","CFR Călători",,,,"Timișoara Nord","06.06.2026 04:15",0,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10603","Interregional Călători",,,,"Satu Mare","06.06.2026 04:29",0,4A
"06.06.2026 18:38",06.06.2026,Oradea,"IRA 1842","CFR Călători",,,,"Cluj Napoca","06.06.2026 05:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R-E 10512","Interregional Călători",,,,"Timișoara Nord","06.06.2026 06:35",0,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 358","CFR Călători",,,,"Episcopia Bihor","06.06.2026 06:47",0,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10656","Interregional Călători",,,,"Cluj Napoca","06.06.2026 07:20",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3074","CFR Călători",,,,"Cluj Napoca","06.06.2026 07:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 4333","CFR Călători",,,,"Valea lui Mihai","06.06.2026 07:35",0,4C
"06.06.2026 18:38",06.06.2026,Oradea,"IR 1538","CFR Călători",,,,"Timișoara Nord","06.06.2026 08:54",0,4C
"06.06.2026 18:38",06.06.2026,Oradea,"R 360","CFR Călători",,,,"Episcopia Bihor","06.06.2026 10:55",5,4C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10605","Interregional Călători",,,,"Valea lui Mihai","06.06.2026 11:20",0,4A
"06.06.2026 18:38",06.06.2026,Oradea,"R 10680","Interregional Călători",,,,Bratca,"06.06.2026 11:45",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 10034","Transferoviar Călători",,,,"Cluj Napoca","06.06.2026 12:00",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10573","Interregional Călători",,,,"Cluj Napoca","06.06.2026 14:04",0,4A
"06.06.2026 18:38",06.06.2026,Oradea,"R 10658","Interregional Călători",,,,"Cluj Napoca","06.06.2026 14:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3644","CFR Călători",,,,Bratca,"06.06.2026 14:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10607","Interregional Călători",,,,"Satu Mare","06.06.2026 14:45",0,4A
"06.06.2026 18:38",06.06.2026,Oradea,"R 362","CFR Călători",,,,"Episcopia Bihor","06.06.2026 14:55",4,4C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 10036","Transferoviar Călători",,,,"Cluj Napoca","06.06.2026 15:00",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 4337","CFR Călători",,,,Halmeu,"06.06.2026 15:21",0,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R-E 14104","Interregional Călători",,,,"Timișoara Nord","06.06.2026 15:30",0,4C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3076","CFR Călători",,,,"Cluj Napoca","06.06.2026 15:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 13116","CFR Călători",,,,"Timișoara Nord","06.06.2026 16:10",0,5C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3008","CFR Călători",,,,"Cluj Napoca","06.06.2026 17:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"IRN 01744","CFR Călători",,,,"București Nord","06.06.2026 17:35",0,5C
"06.06.2026 18:38",06.06.2026,Oradea,"R 10609","Interregional Călători",,,,"Valea lui Mihai","06.06.2026 17:44",0,4A
"06.06.2026 18:38",06.06.2026,Oradea,"R 364","CFR Călători",,,,"Episcopia Bihor","06.06.2026 17:55",0,4C
"06.06.2026 18:38",06.06.2026,Oradea,"IRA 01537","CFR Călători",,,,"Cluj Napoca","06.06.2026 18:40",0,
"06.06.2026 18:38",06.06.2026,Oradea,"R 10682","Interregional Călători",,,,Bratca,"06.06.2026 19:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"RA 3646","CFR Călători",,,,Bratca,"06.06.2026 19:30",0,0C
"06.06.2026 18:38",06.06.2026,Oradea,"R 368","CFR Călători",,,,"Episcopia Bihor","06.06.2026 20:55",0,4C
